iter	RMSE
0	1.20915205
1	1.176180927
2	1.148088391
3	1.123269619
4	1.098426912
5	1.075457719
6	1.053563432
7	1.034139623
8	1.015417917
9	0.9981811864
10	0.9804163731
11	0.9638463284
12	0.9489732642
13	0.9366735256
14	0.923586493
15	0.9110694581
16	0.90007477
17	0.887526856
18	0.8763406023
19	0.8669398251
20	0.8572385753
21	0.8478950777
22	0.8402257621
23	0.8320676047
24	0.8252212743
25	0.8183551632
26	0.8118227732
27	0.8056136958
28	0.7997606832
29	0.7939302501
30	0.7880713642
31	0.7835025487
32	0.7787535125
33	0.7742785468
34	0.7701365535
35	0.7664849371
36	0.7626964677
37	0.7588621379
38	0.7552765327
39	0.7512684341
40	0.7484751118
41	0.7457141862
42	0.7427254492
43	0.7398248574
44	0.7367927189
45	0.7345929496
46	0.732078481
47	0.7293549609
48	0.7274124389
49	0.7255302349
50	0.7233766061
51	0.7214394377
52	0.71962286
53	0.717517718
54	0.7157685054
55	0.7140850894
56	0.7123182551
57	0.7104764187
58	0.7091596217
59	0.7080321431
60	0.7066008835
61	0.7049788601
62	0.7037605338
63	0.7023397039
64	0.7012394894
65	0.6991402971
66	0.6980335016
67	0.6968636623
68	0.6954727041
69	0.6941401494
70	0.6929296863
71	0.6919139847
72	0.691627768
73	0.6913096682
74	0.6907524295
75	0.6901309772
76	0.6892032759
77	0.6882940704
78	0.6876941167
79	0.686516908
80	0.6853726993
81	0.6844910783
82	0.6836483543
83	0.6825425793
84	0.6812840745
85	0.6805185006
86	0.6796612876
87	0.6787392053
88	0.6772134335
89	0.6764525309
90	0.6754286995
91	0.6745833833
92	0.6737006368
93	0.6729371728
94	0.6724223202
95	0.6717099875
96	0.6707678405
97	0.6693399788
98	0.6686982647
99	0.6682602534
100	0.6667934801
101	0.6664134354
102	0.6651264651
103	0.6644471486
104	0.6637932736
105	0.6632998922
106	0.6623711122
107	0.661567643
108	0.6611759927
109	0.6605975298
110	0.6599276875
111	0.6595875127
112	0.6593177519
113	0.6585214986
114	0.6574692971
115	0.6568745821
116	0.6558996224
117	0.6552068202
118	0.6548660066
119	0.653865147
120	0.6528746129
121	0.6522768316
122	0.6515930226
123	0.6510273717
124	0.6507975178
125	0.650268419
126	0.650115021
127	0.6498346043
128	0.6494947871
129	0.6490026653
130	0.6476267463
131	0.6474053988
132	0.6462344906
133	0.6439465096
134	0.6431568265
135	0.6421836466
136	0.6409352749
137	0.640537969
138	0.6400706367
139	0.6384976368
140	0.6376918757
141	0.6368697691
142	0.6359936818
143	0.6353259524
144	0.6346200211
145	0.6342019237
146	0.6335288243
147	0.6328240227
148	0.6316674556
149	0.6308783074
150	0.6303330454
151	0.6295939036
152	0.6285962911
153	0.6271682952
154	0.6259714677
155	0.6252566655
156	0.6230612227
157	0.6221809714
158	0.621502148
159	0.6205837648
160	0.6203425142
161	0.6192154716
162	0.6183214868
163	0.6181622638
164	0.6167323369
165	0.6158534662
166	0.6155788472
167	0.6149225072
168	0.6139525981
169	0.6132398305
170	0.6125096249
171	0.610682594
172	0.6097186002
173	0.6091579417
174	0.6074404006
175	0.6064843972
176	0.6055996684
177	0.6052178071
178	0.605010276
179	0.6039847593
180	0.6036827002
181	0.6027034079
182	0.6019927807
183	0.6005480331
184	0.6001595083
185	0.5993447963
186	0.5989822219
187	0.5980839111
188	0.5969214725
189	0.5962837715
190	0.5957763311
191	0.5946044675
192	0.5938761499
193	0.5928314357
194	0.5921269844
195	0.5914398246
196	0.5904381177
197	0.5897501038
198	0.588659498
199	0.5873462797
200	0.5864883833
201	0.5859975641
202	0.5851307827
203	0.5849286961
204	0.5843300167
205	0.583314497
206	0.5824706592
207	0.5815625504
208	0.5811669545
209	0.5805641405
210	0.5804251949
211	0.5798916617
212	0.5789658577
213	0.5784984964
214	0.5777354338
215	0.5774463254
216	0.5767463116
217	0.5758124055
218	0.5755666433
219	0.574703803
220	0.5739339539
221	0.5729410165
222	0.5722797084
223	0.5717086882
224	0.5701323261
225	0.569208205
226	0.5683911018
227	0.5672837538
228	0.5670933894
229	0.5660410506
230	0.5651336936
231	0.5644048999
232	0.563411598
233	0.5632807056
234	0.562641754
235	0.5623064529
236	0.5618186583
237	0.5609564499
238	0.5607820178
239	0.5600474949
240	0.5592947267
241	0.558421703
242	0.5582128574
243	0.5571575144
244	0.5565960422
245	0.5557832141
246	0.5550916297
247	0.5542783102
248	0.5540600949
249	0.5532805054
250	0.5527017615
251	0.5522106573
252	0.551623955
253	0.5508242417
254	0.550059979
255	0.5486731045
256	0.5481753354
257	0.5473454751
258	0.5469539903
259	0.5464660119
260	0.5459307032
261	0.5458057057
262	0.5457321257
263	0.5444686734
264	0.5442587081
265	0.5440939492
266	0.543022697
267	0.5423249189
268	0.541029066
269	0.5405732003
270	0.5403128967
271	0.5394581953
272	0.5388537477
273	0.5378685309
274	0.5370535492
275	0.536439438
276	0.5358840704
277	0.5355956648
278	0.5345948999
279	0.5333866667
280	0.5332811564
281	0.532736893
282	0.5321345202
283	0.5314439988
284	0.5310060973
285	0.5304519448
286	0.5297238473
287	0.5295922663
288	0.5289149011
289	0.5283574122
290	0.5281917471
291	0.5277527591
292	0.5273083426
293	0.5270983393
