iter	Passed	Remaining
0	131	394902
1	133	200705
2	136	136436
3	139	104229
4	141	84958
5	144	71932
6	146	62478
7	148	55378
8	150	49866
9	151	45436
10	153	41829
11	156	38878
12	158	36324
13	160	34148
14	162	32258
15	164	30595
16	165	29118
17	167	27798
18	169	26638
19	171	25591
20	173	24619
21	175	23740
22	177	22936
23	179	22218
24	181	21553
25	183	20941
26	185	20402
27	187	19875
28	189	19378
29	191	18926
30	193	18485
31	194	18070
32	196	17687
33	198	17335
34	200	17015
35	202	16696
36	204	16396
37	206	16108
38	208	15839
39	210	15582
40	212	15355
41	214	15134
42	216	14916
43	218	14704
44	220	14495
45	222	14300
46	224	14108
47	226	13936
48	228	13761
49	230	13591
50	232	13431
51	234	13275
52	236	13128
53	238	12985
54	239	12845
55	241	12721
56	243	12596
57	245	12474
58	247	12362
59	250	12250
60	252	12142
61	253	12034
62	256	11946
63	258	11844
64	260	11743
65	261	11645
66	263	11553
67	265	11462
68	267	11375
69	269	11295
70	272	11221
71	273	11141
72	274	11008
73	275	10875
74	276	10798
75	278	10727
76	280	10657
77	282	10589
78	284	10535
79	286	10473
80	288	10412
81	290	10351
82	292	10294
83	294	10235
84	296	10176
85	299	10132
86	301	10083
87	303	10034
88	305	9987
89	307	9936
90	309	9886
91	311	9837
92	313	9787
93	315	9739
94	317	9696
95	319	9652
96	321	9607
97	322	9563
98	324	9517
99	327	9499
100	333	9565
101	337	9589
102	342	9619
103	346	9638
104	350	9650
105	354	9687
106	358	9683
107	361	9669
108	363	9652
109	367	9642
110	369	9627
111	372	9608
112	375	9591
113	378	9574
114	381	9560
115	384	9548
116	386	9534
117	389	9520
118	392	9506
119	395	9494
120	399	9497
121	402	9483
122	404	9467
123	407	9453
124	410	9444
125	413	9427
126	414	9370
127	416	9352
128	419	9338
129	422	9322
130	425	9309
131	427	9296
132	430	9284
133	433	9272
134	436	9260
135	439	9249
136	442	9242
137	445	9231
138	447	9217
139	450	9207
140	453	9193
141	456	9188
142	459	9177
143	462	9164
144	464	9153
145	467	9139
146	470	9134
147	473	9120
148	476	9113
149	479	9103
150	482	9096
151	485	9093
152	488	9083
153	491	9075
154	494	9069
155	497	9061
156	499	9052
157	502	9043
158	505	9035
159	508	9029
160	511	9018
161	514	9010
162	517	9001
163	519	8992
164	523	8991
165	526	8985
166	529	8975
167	531	8964
168	534	8956
169	537	8948
170	540	8941
171	543	8933
172	546	8923
173	548	8913
174	551	8906
175	554	8898
176	557	8889
177	560	8887
178	563	8877
179	566	8872
180	569	8866
181	572	8857
182	574	8847
183	577	8840
184	580	8831
185	583	8826
186	586	8817
187	588	8803
188	591	8795
189	594	8787
190	597	8781
191	599	8769
192	602	8762
193	605	8753
194	607	8744
195	610	8737
196	613	8731
197	616	8724
198	619	8716
199	622	8710
200	625	8703
201	628	8700
202	631	8696
203	634	8689
204	637	8688
205	640	8690
206	643	8686
207	646	8682
208	649	8675
209	652	8670
210	655	8664
211	658	8658
212	661	8651
213	663	8643
214	666	8637
215	669	8631
216	672	8624
217	675	8618
218	678	8611
219	681	8606
220	683	8600
221	686	8594
222	690	8596
223	693	8595
224	696	8590
225	699	8583
226	702	8578
227	705	8573
228	708	8571
229	711	8569
230	714	8564
231	717	8560
232	720	8558
233	723	8551
234	726	8545
235	729	8540
236	732	8534
237	735	8533
238	738	8529
239	741	8522
240	743	8516
241	746	8510
242	749	8504
243	752	8504
244	755	8501
245	758	8495
246	761	8491
247	764	8485
248	767	8479
249	770	8475
250	773	8468
251	776	8467
252	779	8462
253	782	8459
254	785	8454
255	788	8449
256	791	8444
257	794	8438
258	796	8433
259	799	8430
260	802	8426
261	806	8423
262	808	8418
263	811	8414
264	814	8408
265	817	8402
266	820	8396
267	823	8395
268	826	8392
269	829	8387
270	832	8381
271	835	8377
272	838	8373
273	841	8367
274	843	8362
275	846	8356
276	849	8351
277	852	8347
278	855	8341
279	858	8338
280	861	8333
281	864	8329
282	867	8326
283	870	8320
284	872	8315
285	875	8310
286	878	8304
287	881	8301
288	884	8296
289	887	8291
290	890	8286
291	893	8283
292	896	8283
293	899	8279
